#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
Hammerhead_3         RF00008   NC_028271.1          -          cm        1       58      303      249      -    no    1 0.45   0.0   40.0   1.3e-09 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   NC_028271.1          -          cm        9       58        1       47      +    5'    2 0.49   0.0   23.6   4.2e-05 !   Hammerhead ribozyme (type III)
Hammerhead_HH9       RF02275   NC_028271.1          -          cm       19       54      277      244      -    no    1 0.35   0.0   11.6     0.033 ?   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   NC_028132.1          -          cm        1       58      175      121      -    no    1 0.42   0.0   41.9   4.2e-10 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   NC_028132.1          -          cm        9       58        1       49      +    5'    2 0.49   0.0   26.1   9.3e-06 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   NC_028132.1          -          cm        7       40       18       48      +    no    1 0.52   0.0   11.8     0.069 ?   Hammerhead ribozyme (type I)
Hammerhead_1         RF00163   NC_028132.1          -          cm        1       46      156      120      -    no    1 0.46   0.0   11.7     0.074 ?   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   NC_022893.1          -          cm        1       58      297      243      -    no    1 0.42   0.0   38.5   3.5e-09 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   NC_022893.1          -          cm        9       58        1       47      +    5'    2 0.51   0.0   23.5   4.6e-05 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   NC_011362.1          -          cm        1       58      273      219      -    no    1 0.40   0.0   43.8     1e-10 !   Hammerhead ribozyme (type III)
Hairpin              RF00173   NC_011362.1          -          cm        1       52       49      101      +    no    1 0.49   0.0   17.0    0.0025 !   Hairpin ribozyme
Hammerhead_3         RF00008   MT577534.1           -          cm        1       58      251      197      -    no    1 0.42   0.0   54.4   1.3e-13 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   MT577534.1           -          cm        1       46      231      114      -    no    3 0.45   0.0   21.2   6.1e-05 !   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   MT577534.1           -          cm        9       51        1       40      +    no    1 0.38   0.0   21.3   0.00016 !   Hammerhead ribozyme (type III)
Hammerhead_HH9       RF02275   MT577534.1           -          cm       19       54      225      189      -    no    1 0.41   0.0   14.0    0.0049 !   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   MT577535.1           -          cm        1       58      251      197      -    no    1 0.42   0.0   54.4   1.3e-13 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   MT577535.1           -          cm        1       46      231      114      -    no    3 0.44   0.0   21.2   6.1e-05 !   Hammerhead ribozyme (type I)
Hammerhead_HH9       RF02275   MT577535.1           -          cm       19       54      225      189      -    no    1 0.41   0.0   14.0    0.0049 !   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   MT577536.1           -          cm        1       58      252      198      -    no    1 0.42   0.0   54.4   1.3e-13 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   MT577536.1           -          cm        1       46      232      114      -    no    3 0.45   0.0   21.1   6.5e-05 !   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   MT577536.1           -          cm        9       51        1       40      +    no    1 0.38   0.0   21.3   0.00016 !   Hammerhead ribozyme (type III)
Hammerhead_HH9       RF02275   MT577536.1           -          cm       19       54      226      190      -    no    1 0.41   0.0   14.0    0.0049 !   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   MT577537.1           -          cm        1       58      251      197      -    no    1 0.42   0.0   54.4   1.3e-13 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   MT577537.1           -          cm        1       46      231      114      -    no    3 0.45   0.0   21.2     6e-05 !   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   MT577537.1           -          cm        9       51        1       40      +    no    1 0.38   0.0   21.3   0.00015 !   Hammerhead ribozyme (type III)
Hammerhead_HH9       RF02275   MT577537.1           -          cm       19       54      225      189      -    no    1 0.41   0.0   14.0    0.0048 !   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   MT577538.1           -          cm        1       58      251      197      -    no    1 0.42   0.0   54.4   1.3e-13 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   MT577538.1           -          cm        1       46      231      114      -    no    3 0.45   0.0   21.2     6e-05 !   Hammerhead ribozyme (type I)
